subject_name,subject_code,subject_map,subject_type,relationship,pred_name,pred_code,pred_map,pred_type
,A4,,language code,use,Kalaamaya / Karlamay language,A4,WA SH50-12,language term
,A4,,people code,use,Kalaamaya / Karlamay people,A4,WA SH50-12,people term
,A40,,language code,use,Bidungu language,A40,WA SF50-04,language term
,A40,,people code,use,Bidungu people,A40,WA SF50-04,people term
,A41,,language code,use,Madoidja language,A41,WA SG51-05,language term
,A41,,people code,use,Madoidja people,A41,WA SG51-05,people term
,A42,,language code,use,Tyitiyamba language,A42,WA SG51-03,language term
,A42,,people code,use,Tyitiyamba people,A42,WA SG51-03,people term
,A43,,language code,use,Ngaatjatjara language,A43,WA SG50-12,language term
,A43,,people code,use,Ngaatjatjara people,A43,WA SG50-12,people term
,A44,,language code,use,Djungurdja language,A44,WA SF50-04,language term
,A48,,language code,use,Yinhawangka / Innawonga language,A48,WA SF50-04,language term
,A48,,people code,use,Yinhawangka / Innawonga people,A48,WA SF50-04,people term
,A49,,language code,use,Wirdinya language,A49,WA SF51-13,language term
,A49,,people code,use,Wirdinya people,A49,WA SF51-13,people term
,A5,,language code,use,Nugara language,A5,WA SH51-05,language term
,A5,,people code,use,Nugara people,A5,WA SH51-05,people term
,A50,,language code,use,Nyiyaparli language,A50,WA SF51-13,language term
,A50 people,,people code,use,Nyiyaparli people,A50,WA SF51-13,people term
,A51,,language code,use,Kartujarra language,A51,WA SF51-14,language term
,A51,,people code,use,Kartujarra people,A51,WA SF51-14,people term
,A51.1,,language code,use,Manjiljarra / Martu Wangka language,A51.1,WA SF51-12,language term
,A51.1,,people code,use,Manjiljarra / Martu Wangka people,A51.1,WA SF51-12,people term
,A52,,language code,use,Kiyajarra language,A52,WA SF 52-13,language term
,A52,,people code,use,Kiyajarra people,A52,WA SF 52-13,people term
,A53,,language code,use,Banjima language,A53,WA SF50-11,language term
,A53,,people code,use,Banjima people,A53,WA SF50-11,people term
,A54,,language code,use,Putijarra language,A54,WA SG51-02,language term
,A54,,people code,use,Putijarra people,A54,WA SG51-02,people term
,A55,,language code,use,Palyku language,A55,WA SF51-09,language term
,A55,,people code,use,Palyku people,A55,WA SF51-09,people term
,A56,,language code,use,Dargudi language,A56,WA SG51-09,language term
,A56,,people code,use,Dargudi people,A56,WA SG51-09,people term
,A58,,language code,use,Nyamal language,A58,WA SF51-05,language term
,A58,,people code,use,Nyamal people,A58,WA SF51-05,people term
,A59,,language code,use,Ibarga language,A59,WA SF51-10,language term
,A59,,language code,use,Nyangumarta / Nyangumarda language,A61,WA SF51-10,language term
,A59,,people code,use,Ibarga people,A59,WA SF51-10,people term
,A6,,language code,use,Martuwangka language,A6,WA SH51-10,language term
,A6,,people code,use,Martuwangka people,A6,WA SH51-10,people term
,A60,,language code,use,Witukari language,A60,WA SF50-04,language term
,A60,,people code,use,Witukari people,A60,WA SF50-04,people term
,A61,,people code,use,Nyangumarta / Nyangumarda people,A61,WA SF51-10,people term
,A62,,language code,use,Warnman language,A62,WA SF51-11,language term
,A62,,people code,use,Warnman people,A62,WA SF51-11,people term
,A63,,language code,use,Waringari language,A63,WA SF52-02,language term
,A63,,people code,use,Waringari people,A63,WA SF52-02,people term
,A64 (Karajarri),,language code,use,Karajarri language,A64,WA SE51-10,language term
,A64 (Karajarri),,people code,use,Karajarri people,A64,WA SE51-10,people term
,A64 (Kurajarra),,language code,use,Kurajarra language,A64,WA SF51-10,language term
,A64 (Kurajarra),,people code,use,Kurajarra people,A64,WA SF51-10,people term
,A65,,language code,use,Mangala language,A65,WA SE51-15,language term
,A65,,people code,use,Mangala people,A65,WA SE51-15,people term
,A66,,language code,use,Walmajarri / Walmatjarri language,A66,WA SE51-16,language term
,A66,,people code,use,Walmajarri / Walmatjarri people,A66,WA SE51-16,people term
,A67,,language code,use,Yulparija language,A67,WA SF51-07,language term
,A67,,people code,use,Yulparija people,A67,WA SF51-07,people term
,A68,,language code,use,Kukatja language,A68,WA SF52-02,language term
,A68,,people code,use,Kukatja people,A68,WA SF52-02,people term
,A69,,language code,use,Ngardi / Bunara language,A69,WA SE52-14,language term
,A69,,people code,use,Ngardi / Bunara people,A69,WA SE52-14,people term
,A7,,language code,use,Tjeraridjal language,A7,WA SH51-11,language term
,A7,,people code,use,Tjeraridjal people,A7,WA SH51-11,people term
,A8,,language code,use,Murunidya language,A8,WA SH52-09,language term
,A8,,people code,use,Murunidya people,A8,WA SH52-09,people term
,A88,,language code,use,Juwaliny / Djuwarliny language,A88,WA SE51-16,language term
,A9,,language code,use,Mirning language,A9,WA SH52-14,language term
,A9,,people code,use,Mirning people,A9,WA SH52-14,people term
Abodja language,Y47,Qld SD54-07,language term,use for,,Y47,,language code
Abodja language,Y47,Qld SD54-07,language term,broader term,Middle Paman languages,,,language term
Abodja people,Y47,Qld SD54-07,people term,use for,,Y47,,people code
Adidingithig language,Y35,Qld SD54-07,language term,use,Aritinngithig language,Y34,Qld SD54-07,language term
Adidingithig people,Y35,Qld SD54-07,people term,use,Aritinngithig people,Y34,Qld SD54-07,people term
Adinda (Wik-) language,Y46,Qld SD54-07,language term,use,Wik Adinda language,Y46,Qld SD54-07,language term
Adinda (Wik-) people,Y46,Qld SD54-07,people term,use,Wik Adinda people,Y46,Qld SD54-07,people term
Adnyamathana language,L10,SA SH54-09,language term,use,Adnyamathanha language,L10,SA SH54-09,language term
Adnyamathana people,L10,SA SH54-09,people term,use,Adnyamathanha people,L10,SA SH54-09,people term
Adnyamathanha language,L10,SA SH54-09,language term,use for,Adnyamathana language,L10,SA SH54-09,language term
Adnyamathanha language,L10,SA SH54-09,language term,use for,Anyamathana language,L10,SA SH54-09,language term
Adnyamathanha language,L10,SA SH54-09,language term,use for,,L10,,language code
Adnyamathanha language,L10,SA SH54-09,language term,use for,Wailbi / Wailpi language,L10,SA SH54-09,language term
Adnyamathanha language,L10,SA SH54-09,language term,broader term,Yura languages,,,language term
Adnyamathanha people,L10,SA SH54-09,people term,use for,Adnyamathana people,L10,SA SH54-09,people term
Adnyamathanha people,L10,SA SH54-09,people term,use for,Anyamathana people,L10,SA SH54-09,people term
Adnyamathanha people,L10,SA SH54-09,people term,use for,,L10,,people code
Adnyamathanha people,L10,SA SH54-09,people term,use for,Wailbi / Wailpi people,L10,SA SH54-09,people term
Adnyamathanha people,L10,SA SH54-09,people term,narrower term,Nimbalda people,,SA SH54-05,people term
Adyingid language,Y42,Qld SD54-07,language term,use for,Anjingid language,Y42,Qld SD54-07,language term
Adyingid language,Y42,Qld SD54-07,language term,use for,,Y42,,language code
Adyingid language,Y42,Qld SD54-07,language term,broader term,Northern Paman languages,,,language term
Adyingid people,Y42,Qld SD54-07,people term,use for,Anjingid people,Y42,Qld SD54-07,people term
Adyingid people,Y42,Qld SD54-07,people term,use for,,Y42,,people code
Adyinuri / Idj-Inadjana language,Y17,Qld SD54-04,language term,use for,Idj-Inadjana language,Y17,Qld SD54-04,language term
Adyinuri / Idj-Inadjana language,Y17,Qld SD54-04,language term,use for,,Y17,,language code
Adyinuri / Idj-Inadjana language,Y17,Qld SD54-04,language term,broader term,Uradhi languages,,,language term
Adyinuri / Idj-Inadjana people,Y17,Qld SD54-04,people term,use for,Idj-Inadjana people,Y17,Qld SD54-04,people term
Adyinuri / Idj-Inadjana people,Y17,Qld SD54-04,people term,use for,,Y17,,people code
Aghu-Tharnggala language,Y65,Qld SD54-12,language term,use for,,Y65,,language code
Aghu-Tharnggala people,Y65,Qld SD54-12,people term,use for,,Y65,,people code
Agwamin language,Y132,Qld SE55-09,language term,use for,Egwamin language,Y132,Qld SE55-09,language term
Agwamin language,Y132,Qld SE55-09,language term,use for,Ewamin language,Y132,Qld SE55-09,language term
Agwamin language,Y132,Qld SE55-09,language term,use for,Wamin language,Y132,Qld SE55-09,language term
Agwamin language,Y132,Qld SE55-09,language term,use for,,Y132,,language code
Agwamin language,Y132,Qld SE55-09,language term,broader term,Southern Paman languages,,,language term
Agwamin people,Y132,Qld SE55-09,people term,use for,Egwamin people,Y132,Qld SE55-09,people term
Agwamin people,Y132,Qld SE55-09,people term,use for,Ewamin people,Y132,Qld SE 55-09,people term
Agwamin people,Y132,Qld SE55-09,people term,use for,Wamin people,Y132,Qld SE55-09,people term
Agwamin people,Y132,Qld SE55-09,people term,use for,,Y132,,people code
Aji language,Y67,Qld SD55-09,language term,use,Biyalgeyi language,Y67,Qld SD55-09,language term
Aji people,Y67,Qld SD55-09,people term,use,Biyalgeyi people,Y67,Qld SD55-09,people term
Alawa language,N92,NT SD53-10,language term,use for,,N92,,language code
Alawa language,N92,NT SD53-10,language term,broader term,Maran language family,,,language term
Alawa people,N92,NT SD53-10,people term,use for,,N92,,people code
Alawa people,N92,NT SD53-10,people term,narrower term,Wilingura people,N99,NT SD53-14,people term
Algan (Wik-) language,Y49,Qld SD54-07,language term,use,Wik Elken language,Y49,Qld SD54-07,language term
Algan (Wik-) people,Y49,Qld SD54-07,people term,use,Wik Elken people,Y49,Qld SD54-07,people term
Alngith / Alingit language,Y32,Qld SD54-03,language term,use for,,Y32,,language code
Alngith / Alingit language,Y32,Qld SD54-03,language term,broader term,Anguthimri language,Y20,Qld SD54-03,language term
Alngith / Alingit people,Y32,Qld SD54-03,people term,use for,,Y32,,people code
Alura language,N5,NT SD52-15,language term,use for,,N5,,language code
Alura language,N5,NT SD52-15,language term,broader term,Miriwoongic language group,,,language term
Alura people,N5,NT SD52-15,people term,use for,,N5,,people code
Alura people,N5,NT SD52-15,people term,broader term,Jaminjung / Dyaminydyung people,N18,NT SD52-15,people term
Alyawarr / Alyawarre language,C14,NT SF53-07,language term,use for,,C14,,language code
Alyawarr / Alyawarre language,C14,NT SF53-07,language term,broader term,Arandic language group,,,language term
Alyawarr / Alyawarre people,C14,NT SF53-07,people term,use for,,C14,,people code
Amangu language,W12,WA SH50-01,language term,use for,,W12,,language code
Amangu language,W12,WA SH50-01,language term,broader term,Nhanta / Nhanda language,W14,WA SG50-13,language term
Amangu people,W12,WA SH50-01,people term,use for,,W12,,people code
Amangu people,W12,WA SH50-01,people term,broader term,Noongar / Nyungar / Nyungah people,W41,WA SI50,people term
Amarak language,N47,NT SC53-13,language term,use,Amurdak / Umorrdak / Amarak language,N47,NT SC53-13,language term
Ambama language,Y48,Qld SD54-07,language term,use,Wik Ompom language,Y48,Qld SD54-07,language term
Ambama people,Y48,Qld SD54-07,people term,use,Wik Ompom people,Y48,Qld SD54-07,people term
Ami Ami language,N15,NT SD52-07,language term,use,Emmi / Ami Ami language,N15,NT SD52-07,language term
Ami Ami people,N15,NT SD52-07,people term,use,Emmi / Ami Ami people,N15,NT SD52-07,people term
Amurdak / Umoordak / Amarak people,N47,NT SC53-13,people term,narrower term,Wareidbug people,N48,NT SC53-13,people term
Amurdak / Umorrdak / Amarak language,N47,NT SC53-13,language term,use for,Amarak language,N47,NT SC53-13,language term
Amurdak / Umorrdak / Amarak language,N47,NT SC53-13,language term,use for,Kidjurra language,N47,NT SC53-13,language term
Amurdak / Umorrdak / Amarak language,N47,NT SC53-13,language term,use for,,N47,,language code
Amurdak / Umorrdak / Amarak language,N47,NT SC53-13,language term,use for,,N48,,language code
Amurdak / Umorrdak / Amarak language,N47,NT SC53-13,language term,use for,Umorrdak language,N47,NT SC53-13,language term
Amurdak / Umorrdak / Amarak language,N47,NT SC53-13,language term,use for,Urrirrk language,N47,NT SC53-13,language term
Amurdak / Umorrdak / Amarak language,N47,NT SC53-13,language term,use for,Wareidbug language,N48,NT SC53-13,language term
Amurdak / Umorrdak / Amarak language,N47,NT SC53-13,language term,use for,Wurilg language,N47,NT SC53-13,language term
Amurdak / Umorrdak / Amarak language,N47,NT SC53-13,language term,broader term,Iwaidjan language family,,,language term
Amurdak / Umorrdak / Amarak people,N47,NT SC53-13,people term,use for,,N47,,people code
Amurdak / Umorrdak / Amarak people,N47,NT SC53-13,people term,use for,Umorrdak people,N47,NT SC53-13,people term
Anaiwan / Nganyaywana language,D24,NSW SH56-09,language term,use for,,D24,,language code
Anaiwan / Nganyaywana language,D24,NSW SH56-09,language term,use for,Enneewin language,D24,NSW SH56-09,language term
Anaiwan / Nganyaywana language,D24,NSW SH56-09,language term,use for,Nganyaywana language,D24,NSW SH56-09,language term
Anaiwan / Nganyaywana language,D24,NSW SH56-09,language term,broader term,Yuin-Kuric language group,,,language term
Anaiwan / Nganyaywana people,D24,NSW SH56-09,people term,use for,,D24,,people code
Anaiwan / Nganyaywana people,D24,NSW SH56-09,people term,use for,Enneewin people,D24,NSW SH56-09,people term
Anaiwan / Nganyaywana people,D24,NSW SH56-09,people term,use for,Nganyaywana people,D24,NSW SH56-09,people term
Anbarra language,N82,NT SD53-02,language term,use,Burarra language,N82,NT SD53-02,language term
Andajin language,K23,WA SE 52-02,language term,use for,Andidja language,K23,WA SE 52-02,language term
Andajin language,K23,WA SE 52-02,language term,use for,,K23,,language code
Andajin language,K23,WA SE 52-02,language term,broader term,Ngarinyin / Ungarinyin languages,,,language term
Andajin people,K23,WA SE52-05,people term,use for,Andidja people,K23,WA SE52-05,people term
Andajin people,K23,WA SE52-05,people term,use for,,K23,,people code
Andajin people,K23,WA SE52-05,people term,broader term,Worla / Wulu people,K43,WA SE52-01,people term
Andegerebenha language,C12,NT SF53-12,language term,use,Antekerrepenh / Antekerrepinhe / Andegerebenha language,C12,NT SF53-12,language term
Andegerebenha people,C12,NT SF53-12,people term,use,Antekerrepenh / Antekerrepinhe / Andegerebenha people,C12,NT SF53-12,people term
Andidja language,K23,WA SE 52-02,language term,use,Andajin language,K23,WA SE 52-02,language term
Andidja people,K23,WA SE52-05,people term,use,Andajin people,K23,WA SE52-05,people term
Angkamuthi / Anggamudi language,Y7,Qld SC54-12,language term,use for,,Y7,,language code
Angkamuthi / Anggamudi language,Y7,Qld SC54-12,language term,broader term,Uradhi languages,,,language term
Angkamuthi / Anggamudi people,Y7,Qld SC54-12,people term,use for,,Y7,,people code
Angkamuthi / Anggamudi people,Y7,Qld SC54-12,people term,narrower term,Luthigh people,Y12,Qld SC54-15,people term
Angkamuthi / Anggamudi people,Y7,Qld SC54-12,people term,narrower term,Unjadi people,Y13,Qld SC54-16,people term
Angkamuthi / Anggamudi people,Y7,Qld SC54-12,people term,narrower term,Uradhi people,,Qld SD54-03,people term
Anguthimri language,Y20,Qld SD54-03,language term,use for,Awngdhim language,Y20,Qld SD54-03,language term
Anguthimri language,Y20,Qld SD54-03,language term,use for,Mpakwithi language,Y20,Qld SD54-03,language term
Anguthimri language,Y20,Qld SD54-03,language term,use for,,Y20,,language code
Anguthimri language,Y20,Qld SD54-03,language term,broader term,Northern Paman languages,,,language term
Anguthimri language,Y20,Qld SD54-03,language term,narrower term,Alngith / Alingit language,Y32,Qld SD54-03,language term
Anguthimri language,Y20,Qld SD54-03,language term,narrower term,Linngithigh language,Y26,Qld SD54-03,language term
Anguthimri language,Y20,Qld SD54-03,language term,narrower term,Mpalitjanh language,Y25,Qld SD54-03,language term
Anguthimri language,Y20,Qld SD54-03,language term,narrower term,Ndraangidh language,Y39,Qld SD54-07,language term
Anguthimri language,Y20,Qld SD54-03,language term,narrower term,Nggerigudi / Yupngayth language,Y19,Qld SD54-03,language term
Anguthimri language,Y20,Qld SD54-03,language term,narrower term,Ntrangith language,Y27,Qld SD54-03,language term
Anguthimri language,Y20,Qld SD54-03,language term,narrower term,Tainikuit language,Y24,Qld SD54-03,language term
Anguthimri language,Y20,Qld SD54-03,language term,narrower term,Wimarangga language,Y23,Qld SD54-03,language term
Anguthimri language,Y20,Qld SD54-03,language term,narrower term,Windawinda / Mamangidigh language,Y31,Qld SD54-03,language term
Anguthimri people,Y20,Qld SD54-03,people term,use for,Awngdhim people,Y20,Qld SD54-03,people term
Anguthimri people,Y20,Qld SD54-03,people term,use for,Mpakwithi people,Y20,Qld SD54-03,people term
Anguthimri people,Y20,Qld SD54-03,people term,use for,,Y20,,people code
Anguthimri people,Y20,Qld SD54-03,people term,narrower term,Wimarangga people,Y23,Qld SD54-03,people term
Anindilyakwa / Enindhilyagwa / Warnindilyakwa language,N151,NT SD53-12,language term,use for,Enindhilyagwa language,N151,NT SD53-12,language term
Anindilyakwa / Enindhilyagwa / Warnindilyakwa language,N151,NT SD53-12,language term,use for,,N151,,language code
Anindilyakwa / Enindhilyagwa / Warnindilyakwa language,N151,NT SD53-12,language term,use for,Warnindilyakwa language,N151,NT SD53-12,language term
Anindilyakwa / Enindhilyagwa / Warnindilyakwa language,N151,NT SD53-12,language term,broader term,Anindilyakwa language family,,,language term
Anindilyakwa / Enindhilyagwa / Warnindilyakwa people,N151,NT SD53-12,people term,use for,Enindhilyagwa people,N151,NT SD53-12,people term
Anindilyakwa / Enindhilyagwa / Warnindilyakwa people,N151,NT SD53-12,people term,use for,,N151,,people code
Anindilyakwa / Enindhilyagwa / Warnindilyakwa people,N151,NT SD53-12,people term,use for,Warnindilyakwa people,N151,NT SD53-12,people term
Anindilyakwa language family,,,language term,narrower term,Anindilyakwa / Enindhilyagwa / Warnindilyakwa language,N151,NT SD53-12,language term
Anindilyakwa language family,,,language term,narrower term,Walu language,N152,NT SD53-16,language term
Anjingid language,Y42,Qld SD54-07,language term,use,Adyingid language,Y42,Qld SD54-07,language term
Anjingid people,Y42,Qld SD54-07,people term,use,Adyingid people,Y42,Qld SD54-07,people term
Anjingid people,Y44,Qld SD54-08,people term,use,Kaanju / Kaantju / Anjingid people,Y44,Qld SD54-08,people term
Anmatyerre / Anmatyerr language,C8.1,NT SF53-09,language term,use for,,C8.1,,language code
Anmatyerre / Anmatyerr language,C8.1,NT SF53-09,language term,broader term,Arandic language group,,,language term
Anmatyerre / Anmatyerr people,C8.1,NT SF53-09,people term,use for,,C8.1,,people code
Anson Bay language group,,,language term,broader term,Daly language family,,,language term
Anson Bay language group,,,language term,narrower term,Batjamal / Wogait language,N6,NT SD52-07,language term
Antakarinja language,C5,SA SG53-14,language term,use,Antakirinya / Antikirinya / Antakarinja language,C5,SA SG53-14,language term
Antakarinja people,C5,SA SG53-14,people term,use,Antakirinya / Antikirinya / Antakarinja people,C5,SA SG53-14,people term
Antakirinya / Antikirinya / Antakarinja language,C5,SA SG53-14,language term,use for,Antakarinja language,C5,SA SG53-14,language term
Antakirinya / Antikirinya / Antakarinja language,C5,SA SG53-14,language term,use for,Antikirinya language,C5,SA SG53-14,language term
Antakirinya / Antikirinya / Antakarinja language,C5,SA SG53-14,language term,use for,,C5,,language code
Antakirinya / Antikirinya / Antakarinja language,C5,SA SG53-14,language term,broader term,Western Desert languages,,,language term
Antakirinya / Antikirinya / Antakarinja people,C5,SA SG53-14,people term,use for,Antakarinja people,C5,SA SG53-14,people term
Antakirinya / Antikirinya / Antakarinja people,C5,SA SG53-14,people term,use for,Antikirinya people,C5,SA SG53-14,people term
Antakirinya / Antikirinya / Antakarinja people,C5,SA SG53-14,people term,use for,,C5,,people code
Antakirinya / Antikirinya / Antakarinja people,C5,SA SG53-14,people term,broader term,Western Desert people,,,people term
Antekerrepenh / Antekerrepinhe / Andegerebenha language,C12,NT SF53-12,language term,use for,Andegerebenha language,C12,NT SF53-12,language term
Antekerrepenh / Antekerrepinhe / Andegerebenha language,C12,NT SF53-12,language term,use for,Antekerrepinhe language,C12,NT SF53-12,language term
Antekerrepenh / Antekerrepinhe / Andegerebenha language,C12,NT SF53-12,language term,use for,,C12,,language code
Antekerrepenh / Antekerrepinhe / Andegerebenha language,C12,NT SF53-12,language term,broader term,Arandic language group,,,language term
Antekerrepenh / Antekerrepinhe / Andegerebenha people,C12,NT SF53-12,people term,use for,Andegerebenha people,C12,NT SF53-12,people term
Antekerrepenh / Antekerrepinhe / Andegerebenha people,C12,NT SF53-12,people term,use for,Antekerrepinhe people,C12,NT SF53-12,people term
Antekerrepenh / Antekerrepinhe / Andegerebenha people,C12,NT SF53-12,people term,use for,,C12,,people code
Antekerrepinhe language,C12,NT SF53-12,language term,use,Antekerrepenh / Antekerrepinhe / Andegerebenha language,C12,NT SF53-12,language term
Antekerrepinhe people,C12,NT SF53-12,people term,use,Antekerrepenh / Antekerrepinhe / Andegerebenha people,C12,NT SF53-12,people term
Antikirinya language,C5,SA SG53-14,language term,use,Antakirinya / Antikirinya / Antakarinja language,C5,SA SG53-14,language term
Antikirinya people,C5,SA SG53-14,people term,use,Antakirinya / Antikirinya / Antakarinja people,C5,SA SG53-14,people term
Anyamathana language,L10,SA SH54-09,language term,use,Adnyamathanha language,L10,SA SH54-09,language term
Anyamathana people,L10,SA SH54-09,people term,use,Adnyamathanha people,L10,SA SH54-09,people term
Araba language,Y107,Qld SE54-07,language term,use,Ribh / Araba language,Y107,Qld SE54-07,language term
Araba people,Y107,Qld SE54-07,people term,use,Ribh / Araba people,Y107,Qld SE54-07,people term
Arabana / Arabunna language,L13,SA SH53-03,language term,use for,,L13,,language code
Arabana / Arabunna language,L13,SA SH53-03,language term,broader term,Arabana / Wangkangurru languages,,,language term
Arabana / Arabunna people,L13,SA SH53-03,people term,use for,,L13,,people code
Arabana / Wangkangurru languages,,,language group term,use for,Wangkangurru languages,,,language term
Arabana / Wangkangurru languages,,,language group term,broader term,Karnic language group,,,language term
Arabana / Wangkangurru languages,,,language group term,narrower term,Arabana / Arabunna language,L13,SA SH53-03,language term
Arabana / Wangkangurru languages,,,language group term,narrower term,Wangkangurru / Wangganguru language,L27,SA SG53-12,language term
Aragu language,Y75,Qld SD55-13,language term,use,Gugu Warra / Koko Wara language,Y80,Qld SD55-13,language term
Aragwal language,E13,NSW SH56-03,language term,use,Arakwal language,E13,NSW SH56-03,language term
Aragwal people,E13,NSW SH56-03,people term,use,Arakwal people,E13,NSW SH56-03,people term
Arakwal language,E13,NSW SH56-03,language term,use for,Aragwal language,E13,NSW SH56-03,language term
Arakwal language,E13,NSW SH56-03,language term,use for,,E13,,language code
Arakwal language,E13,NSW SH56-03,language term,broader term,Bundjalungic language group,,,language term
Arakwal people,E13,NSW SH56-03,people term,use for,Aragwal people,E13,NSW SH56-03,people term
Arakwal people,E13,NSW SH56-03,people term,use for,,E13,,people code
Arakwal people,E13,NSW SH56-03,people term,broader term,Bundjalung / Banjalang people,E12,NSW SH56-02,people term
Aranda language,C8,NT SG53-02,language term,use,Arrernte / Aranda language,C8,NT SG53-02,language term
"Aranda language, Southern",C8,NT SF53-14,language term,use,Pertame language,C8,NT SF53-14,language term
"Aranda language, Western",C8,NT SF53-13,language term,use,Western Arrernte language,C8,NT SF53-13,language term
Aranda people,C8,NT SG53-02,people term,use,Arrernte / Aranda people,C8,NT SG53-02,people term
"Aranda people, Southern",C8,NT SF53-14,people term,use,Pertame people,C8,NT SF53-14,people term
"Aranda people, Western",C8,NT SF53-13,people term,use,Western Arrernte people,C8,NT SF53-13,people term
Arandic language group,,,language term,broader term,Pama-Nyungan language family,,,language term
Arandic language group,,,language term,narrower term,Alyawarr / Alyawarre language,C14,NT SF53-07,language term
Arandic language group,,,language term,narrower term,Anmatyerre / Anmatyerr language,C8.1,NT SF53-09,language term
Arandic language group,,,language term,narrower term,Antekerrepenh / Antekerrepinhe / Andegerebenha language,C12,NT SF53-12,language term
